MedNet Code,Medicare Modifiers,Bill Medical Direction
003D,YES,YES
0546,YES,YES
14601A,YES,YES
60656,YES,YES
4243,YES,YES
1441,YES,YES
490,YES,YES
10002,YES,YES
13575,YES,YES
1870,YES,YES
01260,YES,YES
13811,YES,YES
595,YES,YES
20110,YES,YES
31361,YES,YES
60618,YES,YES
0299,YES,YES
0379,YES,YES
1357,YES,YES
9754,YES,YES
60673,YES,YES
0011,YES,YES
0589,YES,YES
9898,YES,YES
03578,YES,YES
9344,YES,YES
170111,YES,YES
0377,YES,YES
1304,YES,YES
1464,YES,YES
4155,YES,YES
0430,YES,YES
00111,YES,YES
0503,YES,YES
0522,YES,YES
31362,YES,YES
0598,YES,YES
064,YES,YES
272671,YES,YES
981806,YES,YES
9811111,YES,YES
29200,YES,YES
7404,YES,YES
49644,YES,YES
2555,YES,YES
1827,YES,YES
501036,YES,YES
12244,YES,YES
182082,YES,YES
9812,YES,YES
981107,YES,YES
4012,YES,YES
2295,YES,YES
23759,YES,YES
088541,YES,YES
2375,YES,YES
9816B,YES,YES
78220,YES,YES
79998,YES,YES
9814,YES,YES
33630,YES,YES
302,YES,YES
121405,YES,YES
91612,YES,YES
2008,YES,YES
13441,YES,YES
9816,YES,YES
79999,YES,YES
1579,YES,YES
157,YES,YES
14101,YES,YES
2170,YES,YES
4079,YES,YES
1125,YES,YES
9816S,YES,YES
0259,YES,YES
14,YES,YES
7186,YES,YES
151,YES,YES
1716,YES,YES
91608,YES,YES
2541,YES,YES
8402,YES,YES
2772,YES,YES
982974,NO,NO
66545,NO,NO
06515,YES,YES
14089,YES,YES
7152,YES,YES
982963,YES,YES
66547,YES,YES
7941,NO,NO
7940,NO,NO
92009,YES,YES
5001369,NO,NO
691,YES,YES
2786,NO,NO
108815,NO,NO
W2689,NO,NO
W258806,NO,NO
2910,NO,NO
5481,NO,NO
A268993,NO,NO
09330,NO,NO
100110,NO,NO
92150,NO,NO
22412,NO,NO
31296,NO,NO
G20810,NO,NO
2710,NO,NO
671,NO,NO
A87,NO,NO
15146,NO,NO
01615,NO,NO
33631,NO,NO
2904,NO,NO
27648,NO,NO
605551,NO,NO
W127,NO,NO
90051,NO,NO
8855,NO,NO
4950,NO,NO
1685,NO,NO
0429,NO,NO
367,NO,NO
46206,NO,NO
410450,NO,NO
A60400,NO,NO
0588,NO,NO
AAA,NO,NO
2868,NO,NO
W182476,NO,NO
AU182068,NO,NO
1821,NO,NO
5515,NO,NO
2928,NO,NO
26005,NO,NO
9903,NO,NO
6434,NO,NO
151048,NO,NO
63002,NO,NO
500,NO,NO
1116,NO,NO
258,NO,NO
12980,NO,NO
10810,NO,NO
W3535,NO,NO
3440,NO,NO
6807,NO,NO
512926,NO,NO
3301,NO,NO
5129,NO,NO
W338,NO,NO
10719,NO,NO
481705,NO,NO
9125,NO,NO
4280,NO,NO
93,NO,NO
421,NO,NO
6500,NO,NO
2056,NO,NO
0631,NO,NO
108,NO,NO
11551,NO,NO
2052,NO,NO
3360,NO,NO
8037,NO,NO
WC6007,NO,NO
W1980,NO,NO
9177,NO,NO
7183,NO,NO
18282,NO,NO
46530,NO,NO
39027,NO,NO
0518,NO,NO
8184,NO,NO
2966,NO,NO
221,NO,NO
52273,NO,NO
52270,NO,NO
3153,NO,NO
52550,NO,NO
52295,NO,NO
WC6610,NO,NO
1810,NO,NO
403,NO,NO
220,NO,NO
18046,NO,NO
60420,NO,NO
1104,NO,NO
2309,NO,NO
2700,NO,NO
7662,NO,NO
2366,NO,NO
2355,NO,NO
0714,NO,NO
106169,NO,NO
106171,NO,NO
106170,NO,NO
8422,NO,NO
00201,NO,NO
82613,NO,NO
106145,NO,NO
2702,NO,NO
1163,NO,NO
21216,NO,NO
AI75266,NO,NO
6800,NO,NO
2308,NO,NO
661027,NO,NO
78714,NO,NO
52257,NO,NO
52250,NO,NO
83106,NO,NO
61710,NO,NO
4137,NO,NO
35660,NO,NO
4220,NO,NO
4447,NO,NO
6453,NO,NO
539,NO,NO
60638,NO,NO
1971,NO,NO
65205,NO,NO
61350,NO,NO
152,NO,NO
1206,NO,NO
A1617,NO,NO
305195,NO,NO
9479,NO,NO
7024,NO,NO
13095,NO,NO
5859,NO,NO
US190,NO,NO
9791,NO,NO
3155,NO,NO
12901,NO,NO
25501,NO,NO
A25967,NO,NO
2202,NO,NO
48184,NO,NO
0840,NO,NO
11580,NO,NO
9130,NO,NO
3420,NO,NO
81,NO,NO
4530,NO,NO
7430,NO,NO
A6935,NO,NO
10257,NO,NO
33609,NO,NO
502048,NO,NO
25880,NO,NO
WC320,NO,NO
W12506,NO,NO
4680,NO,NO
54565,NO,NO
40449,NO,NO
723,NO,NO
A1052,NO,NO
W1150120,NO,NO
531266,NO,NO
89431,NO,NO
1095,NO,NO
6949,NO,NO
72703,NO,NO
9401,NO,NO
0103,NO,NO
13,NO,NO
7290,NO,NO
9701,NO,NO
61655,NO,NO
66515,NO,NO
7872,NO,NO
4810,NO,NO
2329,NO,NO
01221,NO,NO
0208,NO,NO
8589,NO,NO
3388,NO,NO
3478,NO,NO
236,NO,NO
9403,NO,NO
52282,NO,NO
2310,NO,NO
6201,NO,NO
4500,NO,NO
61348,NO,NO
AU650293,NO,NO
14261,NO,NO
694120,NO,NO
C4034,NO,NO
A2918,NO,NO
7988,NO,NO
2946,NO,NO
0465,NO,NO
2560,NO,NO
7520,NO,NO
80831,NO,NO
66502,NO,NO
3985,NO,NO
24523,NO,NO
2565,NO,NO
25510,NO,NO
1625,NO,NO
969078,NO,NO
4812,NO,NO
2776,NO,NO
975,NO,NO
603,NO,NO
5738,NO,NO
60431,NO,NO
AU3075,NO,NO
3097,NO,NO
12055,NO,NO
74146,NO,NO
9231,NO,NO
9022,NO,NO
80041,NO,NO
921,NO,NO
8172,NO,NO
0304,NO,NO
11051,NO,NO
66063,NO,NO
263,NO,NO
6176,NO,NO
0533,NO,NO
2874,NO,NO
9690,NO,NO
55,NO,NO
3058,NO,NO
57,NO,NO
22115,NO,NO
0573,NO,NO
53704,NO,NO
5300,NO,NO
7330,NO,NO
0096,NO,NO
5323,NO,NO
028,NO,NO
657,NO,NO
212,NO,NO
7136,NO,NO
20N,NO,NO
1806,NO,NO
21801,NO,NO
7606,NO,NO
19323,NO,NO
24704,NO,NO
70501,NO,NO
5090,NO,NO
337,NO,NO
688,NO,NO
2548,NO,NO
5539,NO,NO
2780,NO,NO
4067,NO,NO
115012,NO,NO
13214,NO,NO
12553,NO,NO
654,NO,NO
30315,NO,NO
6066,NO,NO
30512,NO,NO
5925,NO,NO
39,NO,NO
01621,NO,NO
0709,NO,NO
16006,NO,NO
2502,NO,NO
2586,NO,NO
2149,NO,NO
14352,NO,NO
48820,NO,NO
15145,NO,NO
0933,NO,NO
660889,NO,NO
2020,NO,NO
AU210,NO,NO
94597,NO,NO
1955A,NO,NO
A24000,NO,NO
33,NO,NO
AU8385,NO,NO
0099,NO,NO
6562A,NO,NO
335335,NO,NO
3357,NO,NO
9168,NO,NO
30100,NO,NO
26899,NO,NO
268995,NO,NO
11515,NO,NO
3812,YES,YES
998,YES,YES
050,NO,NO
6932,NO,NO
46,YES,YES
36,YES,YES
1460B,NO,NO
1460,NO,NO
907,NO,NO
8069,NO,NO
2181,NO,NO
785,NO,NO
15002,NO,NO
908,NO,NO
95927,YES,YES
9608,YES,YES
2744K,YES,YES
9609,YES,YES
96007,YES,YES
1797,YES,YES
17,YES,YES
FHC,YES,YES
32120,YES,YES
1798,YES,YES
135519,YES,YES
991,YES,YES
990,YES,YES
993,YES,YES
79702,NO,YES
44157,NO,YES
7997,NO,YES
7512,NO,YES
701,NO,YES
61603,NO,YES
335802,NO,YES
60201,NO,YES
211382,NO,YES
211382B,NO,YES
211382C,NO,YES
79710,NO,YES
6015445,NO,YES
7669,NO,YES
6056312,NO,YES
4010,NO,YES
61107,NO,YES
6306,NO,YES
4604,NO,YES
2381,NO,YES
611078,NO,YES
RHMO,NO,YES
44155,NO,YES
79051,NO,YES
440,NO,YES
44075,NO,YES
4031,NO,YES
1680,NO,YES
0905,NO,YES
5678,NO,YES
1649,NO,YES
9566,NO,YES
1604,NO,YES
820,NO,YES
81008,NO,YES
4233,NO,YES
79700,NO,YES
606182,NO,YES
7411,NO,YES
S3075,NO,YES
150UMR,NO,YES
12751,NO,YES
33581,NO,YES
124010,NO,YES
1240101,NO,YES
91754,NO,YES
05466,NO,YES
0868,NO,YES
606301,NO,YES
611971,NO,YES
21146,NO,YES
6803,NO,YES
21244,NO,YES
70521,NO,YES
19006,NO,YES
11003,NO,YES
15437,NO,YES
05910,NO,YES
60506,NO,YES
3358,NO,YES
79981,NO,YES
7971,NO,YES
71601,NO,YES
9667,NO,YES
505155,NO,YES
301382,NO,YES
7905S,NO,YES
300E,NO,YES
6016,NO,YES
18410,NO,YES
0016,NO,NO
0015F,NO,NO
0015,NO,NO
11061,NO,NO
0017,NO,NO
00120,NO,NO
31603,NO,NO
507,NO,YES
003,NO,YES
26251,NO,YES
508,NO,YES
7531,NO,YES
48917,NO,YES
1328,NO,YES
1146,NO,YES
24263,NO,YES
94577,NO,YES
27871,NO,YES
801605,NO,YES
2229LF,NO,YES
734530,NO,YES
33705,NO,YES
786LF,NO,YES
4402,NO,YES
413IPA,NO,YES
48237,NO,YES
509,YES,YES
510,YES,YES
3701,YES,YES
85H,YES,YES
607A,YES,YES
607,YES,YES
85,YES,YES
608A,YES,YES
608S,YES,YES
608,YES,YES
85A,YES,YES
02390,YES,YES
419169,YES,YES
00239,YES,YES
98,YES,YES
807,YES,YES
808,YES,YES
66398,YES,YES
4881,YES,YES
030348M,YES,YES
460,YES,YES
70031,YES,YES
480,YES,YES
32593,YES,YES
14555,YES,YES
10078,YES,YES
401,YES,YES
8502,YES,YES
9802,YES,YES
4830,YES,YES
0018,YES,YES
805107,YES,YES
890,YES,YES
52890M,YES,YES
1101114,YES,YES
36M,YES,YES
68710,YES,YES
687101,YES,YES
25007,YES,YES
68753,YES,YES
2500,YES,YES
25008,YES,YES
L1633,YES,YES
64338,YES,YES
64338R,YES,YES
419071,YES,YES
2583,YES,YES
030348,YES,YES
419016,YES,YES
3248,YES,YES
32480,YES,YES
3888,YES,YES
11101,YES,YES
371101,YES,YES
