Name,MedNet Code,Address,City,Web Site,Phone,Insurance Plan,Hcfa Type,Edi Service
,SABRE INDUSTRIES,7101 SOUTH BRIDGE DR,"51111 SIOUX CITY, IA",,(712) 258-6690,WORKERS COMPENSATION,HCFA1500 12-02,
 SELF,123456, NONE,"52722 BETTENDORF, IA",,,N/A,HCFA1500 12-02,
1199 SEIU NATIONAL BENEFIT,0330,330 WEST 42ND STREET,"10036 NEW YORK, NY",,(800) 227-9360,N/A,HCFA1500 12-02,CLAIM-MD
185th AIR REFUELING c/o MEDICAL,185,2920 HEADQUARTERS AVE,"51111 SIOUX CITY, IA",,,COMMERCIAL ,HCFA1500 12-02,
1SOURCE,W1223,1573 N CLINE AVE,"46319 GRIFFITH, IN",,(855) 517-6872,WORKERS COMPENSATION,HCFA1500 12-02,
1ST AUTO INSURANCE,7988,PO BOX 7988,"53707 MADISON, WI",,(855) 504-0812,AUTO INSURANCE,HCFA1500 12-02,
1ST HEALTH,3362,PO BOX 3362,"25332 CHARLESTON, WV",,(800) 428-1291,FIRST HEALTH,HCFA1500 12-02,
1st health,6880,po box 688007,"78268 SAN ANTONIO, TX",,,FIRST HEALTH,HCFA1500 12-02,
21 ST CENTURY ,85038,PO BOX 29229,"85038 PHOENIX, AZ",,(888) 244-6163,COMMERCIAL ,HCFA1500 12-02,CLAIM-MD
21ST CENTURY HEALTH & BENEFITS,1760,1760 MARKET STREET,"19103 PHILADELPHIA, PA",,,COMMERCIAL ,HCFA1500 12-02,CLAIM-MD
21ST CENTURY HEALTH AND BENEFITS ,4037,PO BOX  5037,"08034 CHERRY HILL, NJ",,(866) 894-3611,UNI_COMM,HCFA1500 12-02,CLAIM-MD
21st CENTURY INSURANCE,1551,PO BOX 15510,"19850 WILMINGTON, DE",,(888) 244-6163,N/A,HCFA1500 12-02,
3 HAB LTD,W429540,PO BOX 429540,"45242 CINCINNATI, OH",,(800) 869-1871,WORKERS COMPENSATION,HCFA1500 12-02,
3-D CONCRETE INC,W10315,103 NE 15TH AVE,"61231 ALEDO, IL",,(309) 582-1195,WORKERS COMPENSATION,HCFA1500 12-02,
3700-N LKSHORE DR CONDO ASSOC,W370,946 W RANDOLPH PHOENIX RISING,"60607 CHICAGO, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
3M,W3406,3406 E PLEASANT ST,"50138 KNOXVILLE, IA",,(641) 828-7000,WORKERS COMPENSATION,HCFA1500 12-02,
3P ADMINISTRATORS,704,704 SAND LAKE ROAD,"54650 ONALASKA, WI",,(888) 540-0094,COMMERCIAL ,HCFA1500 12-02,CLAIM-MD
44 NORTH,6002511,PO BOX 700,"49601 CADILLAC, MI",,(855) 306-1099,N/A,HCFA1500 12-02,
4TH DISTRICT IBEW HEALTH FUND,3150,3150 US ROUTE 60,"25545 ONA, WV",,(888) 466-9094,N/A,HCFA1500 12-02,
5 STAR LIFE INS COMPANY,5777,P O BOX 83043,"68521 LINCOLN, NE",,(866) 863-9753,N/A,HCFA1500 12-02,
6 CORNERS DAY SURGERY CENTER,42140,4211 N CICERO #400  ATTN: KEN,"60641 CHICAGO, IL",,,N/A,HCFA1500 12-02,
6 DEGREE BENEFIT INC,271,P O BOX 271,"21012 ARNOLD, MD",,(855) 373-8232,COMMERCIAL ,HCFA1500 12-02,CLAIM-MD
6 DEGREES HEALTH,3439,3439 NE SANDY BLVD SUITE 384,"97232 PORTLAND, OR",,(503) 640-9933,COMMERCIAL ,HCFA1500 12-02,
7011 HAMILTON CONTAINER CORP,W3400,3400 SOUTH CALIFORNIA,"60632 CHICAGO, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
804 WTF,0804,3421 REVIEW AVE,"11101 LONG ISLAND CITY, NY",,(718) 786-5410,N/A,HCFA1500 12-02,
90 DEGREE BENEFIT,71120,PO BOX 71120,"71171 BOSSIER CITY, LA",use this for non sports accounts / previously called ima,(318) 747-0577,IMA,HCFA1500 12-02,CLAIM-MD
90 DEGREE BENEFITS,14710,14710 TAMIAMI TRL N STE 201,"34110 NAPLES, FL",,(239) 403-7884,N/A,HCFA1500 12-02,
A & R MECHANICAL CONTRACTORS,W7111,711 KETTERING PARK,"61803 URBANA, IL",,(217) 367-4227,WORKERS COMPENSATION,HCFA1500 12-02,
A & R SECURITY ATTN W/C,WC4100,700 E BUTTERFIELD RD STE 320,"60148 LOMBARD, IL",,(630) 366-4100,WORKERS COMPENSATION,HCFA1500 12-02,
A AND B FREIGHT,W6026,PO BOX 6026,"61125 ROCKFORD, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
A FINKL AND SONS,W2975,2011 N SOUTHPORT,"60622 CHICAGO, IL",,(773) 975-2510,WORKERS COMPENSATION,HCFA1500 12-02,
A HORN INC,WC125,125 HARRISON ST,"60010 BARRINGTON, IL",,(847) 382-4170,WORKERS COMPENSATION,HCFA1500 12-02,
A&B PROCESS SYSTEMS,W20154,201 S WISCONSIN AVE,"54484 STRATFORD, WI",,(715) 687-4332,WORKERS COMPENSATION,HCFA1500 12-02,
A&R JANITORIAL  ATT: YESENIA,6080411,3234 W 25TH ST,"60804 CICERO, IL",,(708) 656-8300,WORKERS COMPENSATION,HCFA1500 12-02,
"A-G SPECIALTY INSURANCE,LL OON",21013,PO BOX 21013,"55121 SAINT PAUL, MN",,(847) 456-0595,N/A,HCFB1500 12-02,CLAIM-MD
A-LERT CONSTRUCTION,W40506,4050 N BEARSDALE RD,"62526 DECATUR, IL",,(217) 872-1100,WORKERS COMPENSATION,HCFA1500 12-02,
A. RANDOLPH COMBA,A5221,777 S MAIN ST,"61356 PRINCETON, IL",,(815) 872-5221,LITIGATION,HCFA1500 12-02,
A.J. MANUFACTURING,WC449,449 WRIGHTWOOD,"60126 ELMHURST, IL",,(630) 832-2828,WORKERS COMPENSATION,HCFA1500 12-02,
A1 RECYCLING CENTER,WC800,800 N RUSSELL AVE ATTN: W/C CLAIMS,"60506 AURORA, IL",,(630) 844-0889,WORKERS COMPENSATION,HCFA1500 12-02,
AA CONTE & SON,WC203,31W007 NORTH AVE STE 203,"60185 WEST CHICAGO, IL",,(630) 231-8292,WORKERS COMPENSATION,HCFA1500 12-02,
AAA,2946,PO BOX 2946,"52733 CLINTON, IA",,(800) 497-4036,AUTO INSURANCE,HCFA1500 12-02,
AAA,0465,4650 PLAINFIELD NE,"49525 GRAND RAPIDS, MI",,(616) 447-2713,AUTO INSURANCE,HCFA1500 12-02,
AAA,2560,2560 KENTWOOD AVE,"49546 KENTWOOD, MI",,(616) 957-4455,AUTO INSURANCE,HCFA1500 12-02,
AAA,7520,7520 WESTSHIRE DR,"48917 LANSING, MI",,(517) 622-2446,AUTO INSURANCE,HCFA1500 12-02,
AAA,80831,PO BOX 8083,"48068 ROYAL OAK, MI",,(630) 328-7168,AUTO INSURANCE,HCFA1500 12-02,
AAA,66502,PO BOX 66502,"63166 SAINT LOUIS, MO",,(800) 622-7623,AUTO INSURANCE,HCFA1500 12-02,
AAA,3985,PO BOX 3985,"68103 OMAHA, NE",,(402) 938-3881,AUTO INSURANCE,HCFA1500 12-02,
AAA,24523,PO BOX 24523 ATTN: A. LAGUNA,"94623 OAKLAND, CA",,(800) 579-6182,AUTO INSURANCE,HCFA1500 12-02,
AAA,2565,25650 W 11 MILE RD STE200,"48023 SOUTHFIELD, MI",,(248) 386-3556,AUTO INSURANCE,HCFA1500 12-02,
AAA AUTO CLUB GROUP,48187,2017 N CANTON CENTER ROAD,"48187 CANTON, MI",,(734) 844-5002,N/A,HCFA1500 12-02,
AAA AUTO INSURANCE,25510,25510 WEST 11 MILE RD,"48034 SOUTHFIELD, MI",,(800) 222-6424,AUTO INSURANCE,HCFA1500 12-02,
AAA AUTO INSURANCE,1625,16205 S HARLEM AVE STE F,"60477 TINLEY PARK, IL",,(800) 289-5255,AUTO INSURANCE,HCFA1500 12-02,
AAA COOPER TRANSPORT,36303,1751 KINSEY RD,"36303 DOTHAN, AL",,(334) 793-2284,N/A,HCFA1500 12-02,
AAA INSURANCE ,969078,PO BOX 969078,"92196 SAN DIEGO, CA",,(800) 368-9117,AUTO INSURANCE,HCFA1500 12-02,
AAA INSURANCE,12901,12901 NORTH FORTY DR,"63141 SAINT LOUIS, MO",,,AUTO INSURANCE,HCFA1500 12-02,
AAA INSURANCE CO,4812,1 AUTO CLUB DRIVE,"48126 DEARBORN, MI",,(866) 352-6665,AUTO INSURANCE,HCFA1500 12-02,
AAA LIFE INSURANCE,2776,PO BOX 2776,"68103 OMAHA, NE",,(877) 441-4747,AUTO INSURANCE,HCFA1500 12-02,
AAA MID ATLANTIC ,5483,PO BOX 5483,"08054 MOUNT LAUREL, NJ",,(888) 980-9422,N/A,HCFA1500 12-02,
AAA MOTOR CLUB,25501,25501 W 11 MILE RD,"48023 SOUTHFIELD, MI",,,AUTO INSURANCE,HCFA1500 12-02,
AAA-CHICAGO,975,975 MERIDIAN LAKE DR,"60504 AURORA, IL",,(800) 289-5255,AUTO INSURANCE,HCFA1500 12-02,
AAC RISK MANAGEMENT SERVICES,1415,1415 WEST THRID STREET,"72201 LITTLE ROCK, AR",,(501) 375-8805,WORKERS COMPENSATION,HCFA1500 12-02,
AAG,6129,PO BOX 612989,"75261 DALLAS, TX",,,N/A,HCFA1500 12-02,
AALLIED DIE CASTING CO OF IL ATTN W/C,W3021,3021 CULLERTON,"60131 FRANKLIN PARK, IL",,(847) 455-1950,WORKERS COMPENSATION,HCFA1500 12-02,
AAON INC,W2425,2425 S YUKON,"74107 TULSA, OK",,(918) 382-6476,WORKERS COMPENSATION,HCFA1500 12-02,
AARP HEALTH OPTIONS-UHC DIV.,24,PO BOX 740819,"30374 ATLANTA, GA",,(800) 523-5800,UHC,HCFA1500 12-02,CLAIM-MD
AARP MEDICARE ADVANTAGE FROM UHC,211375,PO BOX 211375,"55121 EAGAN, MN",,(877) 842-3210,UHC MEDICARE REPLACEMENT,HCFA1500 12-02,CLAIM-MD
AARP MEDICARE COMPLETE,30983,PO BOX 30983,"84130 SALT LAKE CITY, UT",www.uhcwest.com,(800) 950-9355,UHC MEDICARE REPLACEMENT,HCFA1500 12-02,CLAIM-MD
AARP MEDICARE COMPLETE,31365,PO BOX 31365,"84131 SALT LAKE CITY, UT",,(888) 866-8297,UHC MEDICARE REPLACEMENT,HCFA1500 12-02,CLAIM-MD
AARP SUPPLEMENTAL,601200,601 E STREET NW,"20049 WASHINGTON, DC",,(188) 687-2277,N/A,HCFA1500 12-02,
ABBOTT LABS QUALITY HLTHCARE,2,200 ABBOTT PARK RD  CORP BENEFITS,"60064 ABBOTT PARK, IL",,,N/A,HCFA1500 12-02,
ABBVIE,WC84,480 US HWY 45,"60030 GRAYSLAKE, IL",,(847) 548-1016,WORKERS COMPENSATION,HCFA1500 12-02,
ABC ELECTRIC INC,W21855,21855 MCPHERSON AVE,"51503 COUNCIL BLUFFS, IA",,(712) 322-4590,WORKERS COMPENSATION,HCFA1500 12-02,
ABC FREIGHT,W8217,1001 SE LORENZ DR,"50021 ANKENY, IA",,(515) 964-8217,WORKERS COMPENSATION,HCFA1500 12-02,
ABC SUPPLY,W0930,930 S LAKE ST,"60060 MUNDELEIN, IL",,(847) 949-2440,WORKERS COMPENSATION,HCFA1500 12-02,
ABC SUPPLY,W17021,171021 RODGELAND AVE,"60477 TINLEY PARK, IL",,(708) 633-1222,WORKERS COMPENSATION,HCFB1500 12-02,
ABC SUPPLY COMPANY,W14232,PO BOX 14232,"40512 LEXINGTON, KY",,,N/A,HCFA1500 12-02,
ABDI,1331,100 W COOK RD,"62704 SPRINGFIELD, IL",,(800) 422-1331,N/A,HCFA1500 12-02,
ABEL & ANNES LAW FIRM,A75,100 NORTH LA SALLE ST STE 1710,"60602 CHICAGO, IL",,(312) 924-7575,LITIGATION,HCFA1500 12-02,
ABELS & ANNES,A11000,100 N LA SALLE ST STE 1710,"60602 CHICAGO, IL",,(312) 924-7575,LITIGATION,HCFA1500 12-02,
"ABERCROMBIE, SIMMONS & GILLETTE",W1336,PO BOX 13367,"23506 NORFOLK, VA",,(757) 473-8281,WORKERS COMPENSATION,HCFA1500 12-02,
ABERDEEN FARMS,WC0215,PO BOX 215,"68101 OMAHA, NE",,,WORKERS COMPENSATION,HCFA1500 12-02,
ABF FREIGHT ,WS1225,225 WILMINGTON WEST CHESTER PIKE,"19317 CHADDS FORD, PA",,(484) 880-4018,WORKERS COMPENSATION,HCFA1500 12-02,
ABF FREIGHT SYSTEM,W5300,5300 W 47TH ST,"60638 CHICAGO, IL",,(708) 458-8863,WORKERS COMPENSATION,HCFA1500 12-02,
ABF FREIGHT WC/ATT RISK MGMT,WC729,PO BOX 10048,"72917 FORT SMITH, AR",,(479) 785-6316,WORKERS COMPENSATION,HCFA1500 12-02,
ABHN/CLININCAL RESEARCH,RSCH-PAA,"3040 W SALT CREEK LANE, 3RD FL","60005 ARLINGTON HEIGHTS, IL",,(847) 590-2624,N/A,HCFA1500 12-02,
ABI,W9111,911 W GRAND AVE,"71913 HOT SPRINGS, AR",,(501) 624-8888,WORKERS COMPENSATION,HCFA1500 12-02,
ABILITY INS CO,3735,PO BOX 3735,"68103 OMAHA, NE",,,N/A,HCFA1500 12-02,
ABLE FIRST AID,W2321,PO BOX 2321,"60065 NORTHBROOK, IL",,(847) 459-6800,WORKERS COMPENSATION,HCFA1500 12-02,
ABLEPAY HEALTH,1278,PO BOX 1278,"18016 BETHLEHEM, PA",,(484) 292-4000,COMMERCIAL ,HCFA1500 12-02,
ABM JANITORIAL SERVICE-USEW0656,60601,180 N LASALLE ,"60601 CHICAGO, IL",,(312) 541-0050,WORKERS COMPENSATION,HCFA1500 12-02,
ABMC BUSINESS OFFICE,PAA-PKG,***FAX ONLY***,"60005 ARLINGTON HEIGHTS, IL",,(847) 590-2415,PRE PAY ACCOUNT,HCFA1500 12-02,
ABRAMS LAW GROUP LTD,A5225,5225 OLD ORCHARD RD,"60077 SKOKIE, IL",,(847) 966-6669,LITIGATION,HCFA1500 12-02,
ABRASIVE TECHNOLOGIES,W1175,1175 BOWES RD,"60123 ELGIN, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
ABRAZO ADVANTAGE HEALTH PLAN ,81200,PO BOX 81200,"85069 PHOENIX, AZ",,(888) 864-1114,N/A,HCFA1500 12-02,
ABRI HEALTH PLAN,270,PO BOX 270208,"53227 WEST ALLIS, WI",,(888) 999-2404,N/A,HCFA1500 12-02,
ABS UTILITY,WC7261,7261 MILLWOOD DRIVE,"71107 SHREVEPORT, LA",,(318) 272-4475,WORKERS COMPENSATION,HCFA1500 12-02,
ABSENTEE SHAWNEE TRIBE,22025,2025 S GORDON COPPER DR,"74801 SHAWNEE, OK",,(405) 275-4030,INDIAN HEALTH SVCS,HCFA1500 12-02,
ABSOLUTE SOLUTIONS,W383,PO BOX 383,"61356 PRINCETON, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
ABSOULTE TOTAL CARE,W3056,PO BOX 3050,"63640 FARMINGTON, MO",,(866) 433-6041,WORKERS COMPENSATION,HCFA1500 12-02,
AC AMERICAN HEALTH PACA,2568,PO BOX 2568  PHCS CLAIMS DEPT,"75034 FRISCO, TX",,(888) 335-8222,N/A,HCFA1500 12-02,
AC LANDSCAPE,WC848,848 SIERRA ATTN W/C,"60031 GURNEE, IL",,(847) 366-9309,WORKERS COMPENSATION,HCFA1500 12-02,
AC PAVEMENT,W13318,13318 W RTE 176 ATTN:DENNIS LUGAR,"60098 WOODSTOCK, IL",,(847) 214-9500,WORKERS COMPENSATION,HCFA1500 12-02,
AC RETIREES PLAN,11270,11270 W PARK PLAZA ,"53224 MILWAUKEE, WI",,(800) 619-0621,N/A,HCFA1500 12-02,
ACADEMIC HEALTHPLANS,4286,PO BOX 700307,"75370 DALLAS, TX",,(800) 785-2446,N/A,HCFA1500 12-02,
ACADEMY ROOFING,WC6361,"6361 N E 14TH ST, ATTN WC DEPT","50313 DES MOINES, IA",,(515) 964-2345,WORKERS COMPENSATION,HCFA1500 12-02,
ACCENDO INSURANCE COMPANY,323,PO BOX 323,"76804 BROWNWOOD, TX",,(800) 264-4000,N/A,HCFA1500 12-02,
ACCENT FUND INS CO CLAIMS DEPT,W770,PO BOX 77000,"48277 DETROIT, MI",,(866) 206-5851,WORKERS COMPENSATION,HCFA1500 12-02,
ACCESS,9364,3359 PAYSPHERE CIRCLE,"60674 CHICAGO, IL",,(772) 257-2267,N/A,HCFA1500 12-02,
ACCESS COMMUNITY HEALTH,1501,"600 W FULTON,STE 200","60661 CHICAGO, IL",,(312) 526-2812,MEDICAID HMO,HCFA1500 12-02,CLAIM-MD
ACCESS COMMUNITY HEALTH,124010,600 WEST FULTON STE 200,"60661 CHICAGO, IL",,(312) 526-2812,BC/BS HMO,HCFA1500 12-02,CLAIM-MD
ACCESS COMMUNITY HEALTH ,60651,4401 W DAVIDSON STREET,"60651 CHICAGO, IL",,(773) 252-3122,N/A,HCFA1500 12-02,
ACCESS COMMUNITY HEALTH IPA,1240101,600 WEST FULTON STE 200,"60661 CHICAGO, IL",,(312) 526-2812,BC/BS HMO,HCFA1500 12-02,CLAIM-MD
ACCESS DUPAGE,8720,515 THORNHILL DR,"60188 CAROL STREAM, IL",,(630) 510-8720,N/A,HCFA1500 12-02,
ACCESS NURSES,27730,PO BOX 27730,"92799 SANTA ANA, CA",,(888) 429-9090,N/A,HCFA1500 12-02,
ACCESS PLAN USA,2003,PO BOX 610810,"75261 DALLAS, TX",,(866) 268-1292,N/A,HCFA1500 12-02,
