InputValue,OutputValue
560013,44306
541015,002
541015,002
501011,9816
510023,TRAN
581010,1634
517016,TRAN
501013,9816
501013,9816
582012,6597
560012,3068
510136,003
510136,003
510138,TRAN
574010,44155
501012,9816
501012,9816
561110,3004
541016,002
513010,0051
510026,003
510026,003
582022,0541
582022,0541
501044,8402
501044,8402
540022,1461
501043,66547
501043,66547
501043,66547
553015,001
541014,002
517012,1822
517012,1822
501045,14089
540011,14601
540011,14601
501027,604469
510137,003
510137,003
510137,003
617010,887012
501010,9816
559110,801605
553010,001
553010,001
517010,1822
501028,2920
567010,5770
546010,1849
546010,1849
632710,632710
540014,1461
551014,66545
517024,1822
551015,66545
551015,66545
553012,001
553012,001
501046,14089
501046,14089
554311,13189
554311,13189
554311,13189
641010,4031
528010,30
552510,3430
517028,20000
517028,20000
541910,2222
510132,003
560010,3002
531010,6693
632610,632610
512010,469064
512010,469064
551016,3727
551016,3727
551016,3727
510024,003
517018,1822
578510,4233
554210,3296
540021,1461
501023,9816
553014,001
553014,001
501021,9816
635010,054
566011,4687
540029,14602
540029,14602
540029,14602
560018,4179
540015,1461
524010,4298
517011,1822
517025,1822
501014,9816
501014,9816
501015,9816
517021,200303
572110,9237
572110,9237
541019,0023
530210,RU60612
530210,RU60612
582026,26
554214,50101
554214,50101
541013,002
541013,002
520011,4020
582019,26
513012,051
502510,0589
502510,0589
502510,0589
517017,1822
517017,1822
510141,003
510141,003
510141,003
510017,003
510143,003
510143,003
510143,003
540019,TRAN
554310,306061
554310,306061
554310,306061
554310,306061
554310,306061
538010,4415
516011,3339
510142,003
531810,C60612
582023,3210
540013,1461
541017,002
517020,200303
517020,200303
530010,0614
517013,1822
501036,501036
541018,002
541018,002
541018,002
500050,24
500050,24
553013,001
553013,001
510018,003
510018,003
510018,003
561111,3004
501110,9816S
501110,9816S
510025,003
510025,003
510025,003
554312,7770
554312,7770
554312,7770
510135,003
510135,003
501041,9816
517029,200020
510131,003C
510131,003C
520015,4020
510133,003
510133,003
510133,003
510134,003
510134,003
510134,003
510140,003
510140,003
510140,003
547010,605591
547010,605591
582011,48038
540020,TRAN
510139,003
510139,003
520810,4117
517015,TRAN
560011,004
582027,8009
501016,TRAN
560016,3017
510016,003
644010,659460
563012,2858
517022,8029
517022,8029
517022,8029
584513,606127
507010,613
548510,30757
525012,2943
525012,2943
525012,2943
525012,2943
554410,01520
554410,01520
554410,01520
554410,01520
588013,W7070
526112,8402
588015,W8300
560017,0023
541010,19105
582021,26
501018,9816
536011,3428
510196,66012
510196,66012
510196,66012
555710,14379
626010,30
626010,30
560910,60612
533010,4509
610010,101161
631010,02
631010,02
640010,6051
563008,2920
583510,441012
551012,3137
583511,33490
557010,6685
584512,136
584512,136
542010,W46220
560014,3090
510198,805107
618810,44199
584511,2748
526010,8400
582025,313751
582025,313751
506010,1358
539110,2050
563009,2920
532012,188061
534520,2102
526110,8400
510199,480
510199,480
510199,480
554011,3137
554011,3137
554011,3137
528110,163390
588014,W0171
551011,3137
551011,3137
540012,14601
540012,14601
519210,70521
519210,70521
622010,4665
541020,CVC
582024,29130
510195,480
510195,480
582028,3136
582028,3136
522510,3358
522510,3358
536010,8624
588012,W30
616010,604469
616010,604469
584510,606127
556010,681
556010,681
556010,681
582010,26
582010,26
519410,519410
551018,66545
551018,66545
551018,66545
582029,26
501032,9816
501051,14770
501051,14770
501051,14770
501301,35152
501301,35152
519501,519501
519501,519501
554015,981718
554015,981718
554015,981718
517031,200303
554202,40201
510144,003
510144,003
517040,20000
517041,20000
554203,50101
517042,20000
551025,01575
546110,18412
551027,66545
582049,5290
582603,41194
582601,41194
