group,location,cpt,total,cpt_ok,rate
LOV,ATLANTIC SURGERY LSR CTR,00142,128,125,0.9766
PRM-WHT,WHITEWATER SURGERY CTR,00142,118,118,1.0000
PCE-PMC,PACMED,00812,108,105,0.9722
INJE-CLIFW,CLI SURGERY CENTER - FORT WAYNE,00142,91,89,0.9780
PCE-CAS,CASCADIA SURGICAL,00142,81,80,0.9877
TAN-ESC,EYE SURGERY CENTER,00142,70,70,1.0000
INJE-CLIK,CLI SURGERY CENTER - KOKOMO,00142,52,50,0.9615
PCE-WWMG,WESTERN WASHINGTON MED GRP,00731,46,46,1.0000
GII-ASC,PEPPER ROAD ENDOSCOPY,00812,45,45,1.0000
KAP-CYP,CYPRESS SURGERY CENTER LLC,00170,40,40,1.0000
WPA,West Plains Ambulatory Surgery Center,00142,34,33,0.9706
IAS-FVO,FOX VALLEY ORTHO ASSOC SC,01400,30,29,0.9667
IAS-BHS,BELOIT HEALTH SYSTEM INC,00813,26,26,1.0000
AHG,ASSOCIATED SURGICAL CENTER LLC,00812,25,25,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,00731,23,23,1.0000
IAS-MOR,MORRIS HOSPITAL,00813,22,21,0.9545
KAP-ASC,ANDOVER SURGERY CENTER,00812,21,21,1.0000
IAS-MOR,MORRIS HOSPITAL,00731,21,21,1.0000
IAS-FVO,FOX VALLEY ORTHO ASSOC SC,01402,20,19,0.9500
PCE-PMC,PACMED,00731,19,19,1.0000
NTA-WGS,WINTER GARDEN SURGERY CTR,00910,18,18,1.0000
KAP-CYP,CYPRESS SURGERY CENTER LLC,00160,17,17,1.0000
GOS-GOSC,GOSHEN HEALTH SURGERY CENTER,00731,17,17,1.0000
WPA,West Plains Ambulatory Surgery Center,00170,17,17,1.0000
IAS-FVO,FOX VALLEY ORTHO ASSOC SC,01630,17,17,1.0000
GII-ASC,PEPPER ROAD ENDOSCOPY,00813,16,16,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,00840,16,16,1.0000
AHG,ASSOCIATED SURGICAL CENTER LLC,00731,15,15,1.0000
KAP-ASC,ANDOVER SURGERY CENTER,00170,15,15,1.0000
PRM-WHT,WHITEWATER SURGERY CTR,00140,15,15,1.0000
TAN-ESC,EYE SURGERY CENTER,00140,15,15,1.0000
CHA-HDH,HILLSDALE HOSPITAL ,00731,15,15,1.0000
NTA-WGS,WINTER GARDEN SURGERY CTR,00902,14,14,1.0000
AHG,ASSOCIATED SURGICAL CENTER LLC,00813,13,13,1.0000
AHG,ASSOCIATED SURGICAL CENTER LLC,01938,13,13,1.0000
GOS-GOH,GOSHEN HOSPITAL,01967,12,12,1.0000
PCE-WWMG,WESTERN WASHINGTON MED GRP,00813,12,12,1.0000
GOS-GOH,GOSHEN HOSPITAL,01961,11,11,1.0000
APO-ORA,ORA SURGERY CENTER,01630,10,10,1.0000
IAS-BMH,BRATTLEBORO MEMORIAL HOSP,00731,10,10,1.0000
PRM,MARGARET MARY HEALTH CTR,00142,9,9,1.0000
NTA-WGS,WINTER GARDEN SURGERY CTR,01810,9,9,1.0000
KAP-CYP,CYPRESS SURGERY CENTER LLC,00952,9,9,1.0000
KAP-CYP,CYPRESS SURGERY CENTER LLC,00320,9,9,1.0000
PCE-PMC,PACMED,00813,9,9,1.0000
CHA-HDH,HILLSDALE HOSPITAL ,00142,9,9,1.0000
IAS-NSC,NORTHPOINTE SURGERY CENTER,00142,9,9,1.0000
KAP-ASC,ANDOVER SURGERY CENTER,00320,8,8,1.0000
APO-ORA,ORA SURGERY CENTER,01400,8,8,1.0000
RIV-RADEL,RIVERVIEW HOSPITAL,00812,8,8,1.0000
IAS-BMH,BRATTLEBORO MEMORIAL HOSP,00813,8,8,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,01480,8,8,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,00400,8,8,1.0000
PRI-RSL,RETINA CONSULTANTS OF NEW ORLEANS SURGERY LLC,00145,8,8,1.0000
PRM,MARGARET MARY HEALTH CTR,00952,7,7,1.0000
STA-HLX,HELIX SURGICENTER LLC,00140,7,7,1.0000
KAP-CYP,CYPRESS SURGERY CENTER LLC,00140,7,7,1.0000
APO-ORA,ORA SURGERY CENTER,01402,7,7,1.0000
IAS-BMH,BRATTLEBORO MEMORIAL HOSP,01214,7,7,1.0000
WPA,West Plains Ambulatory Surgery Center,00140,7,7,1.0000
ANA-ORA,ORA SURGERY CENTER,01400,7,7,1.0000
IAS-BMH,BRATTLEBORO MEMORIAL HOSP,00142,7,7,1.0000
SIO-PSS,PIERCE STREET SURGERY CENTER,00170,6,6,1.0000
SIO-PSS,PIERCE STREET SURGERY CENTER,00145,6,6,1.0000
GAP,FINLEY HOSPITAL,00142,6,6,1.0000
AHG,ASSOCIATED SURGICAL CENTER LLC,00902,6,6,1.0000
GOS-GOH,GOSHEN HOSPITAL,00940,6,6,1.0000
KAP-ASC,ANDOVER SURGERY CENTER,01630,6,6,1.0000
KAP-ASC,ANDOVER SURGERY CENTER,00811,6,6,1.0000
CHA-HDH,HILLSDALE HOSPITAL ,00670,6,6,1.0000
CHA-HDH,HILLSDALE HOSPITAL ,00840,6,6,1.0000
KAP-CYP,CYPRESS SURGERY CENTER LLC,00851,6,6,1.0000
KAP-CYP,CYPRESS SURGERY CENTER LLC,00300,6,6,1.0000
IAS-BMH,BRATTLEBORO MEMORIAL HOSP,00811,6,6,1.0000
CHA-HDH,HILLSDALE HOSPITAL ,00811,6,6,1.0000
ANA-ORA,ORA SURGERY CENTER,01402,6,6,1.0000
ANA-ORA,ORA SURGERY CENTER,01630,6,6,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,00952,6,6,1.0000
MKI,LOUISIANA SURGERY CENTER,01400,6,6,1.0000
PRM,MARGARET MARY HEALTH CTR,00790,5,5,1.0000
SIO-STL,ST LUKES REGIONAL MEDICAL CENTER,01480,5,5,1.0000
AHG,ASSOCIATED SURGICAL CENTER LLC,01480,5,5,1.0000
KAP-ASC,ANDOVER SURGERY CENTER,01400,5,5,1.0000
INJE-CLIK,CLI SURGERY CENTER - KOKOMO,00140,5,5,1.0000
RIV-RADEL,RIVERVIEW HOSPITAL,00813,5,5,1.0000
IAS-BMH,BRATTLEBORO MEMORIAL HOSP,01480,5,5,1.0000
CHA-HDH,HILLSDALE HOSPITAL ,01961,5,5,1.0000
INJE-CHB,COMMUNITY HOSPITAL OF BREMEN,00812,5,5,1.0000
CHA-HDH,HILLSDALE HOSPITAL ,00813,5,5,1.0000
CHA-HDH,HILLSDALE HOSPITAL ,00170,5,5,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,01961,5,5,1.0000
LOV,ATLANTIC SURGERY LSR CTR,00140,5,5,1.0000
ANA-ORA,ORA SURGERY CENTER,01480,5,5,1.0000
EAP-CMI,CENTER FOR MINIMALLY INV SURG,01937,5,5,1.0000
GOS-GOH,GOSHEN HOSPITAL,00520,5,5,1.0000
SIO-PSS,PIERCE STREET SURGERY CENTER,00126,4,4,1.0000
NTA-WGS,WINTER GARDEN SURGERY CTR,00920,4,4,1.0000
GOS-GOH,GOSHEN HOSPITAL,01402,4,4,1.0000
IAS-MOR,MORRIS HOSPITAL,00830,4,4,1.0000
KAP-CYP,CYPRESS SURGERY CENTER LLC,00142,4,4,1.0000
PCE-CAS,CASCADIA SURGICAL,00140,4,4,1.0000
SIO-PSS,PIERCE STREET SURGERY CENTER,01480,4,4,1.0000
SIO-PSS,PIERCE STREET SURGERY CENTER,01830,4,4,1.0000
TAN-ESC,EYE SURGERY CENTER,00145,4,4,1.0000
INJE-CLIFW,CLI SURGERY CENTER - FORT WAYNE,00140,4,4,1.0000
IAS-BMH,BRATTLEBORO MEMORIAL HOSP,01402,4,4,1.0000
IAS-BMH,BRATTLEBORO MEMORIAL HOSP,00840,4,4,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,00902,4,4,1.0000
INJE-NRSC,NORTHWEST REGIONAL SURG CTR LLC,01810,4,4,1.0000
APO-UTP,UNITY POINT-TERRACE PARK,01214,4,4,1.0000
GAP-UMSC,"UPPER MISSISSIPPI SRG CTR, LLC",01400,4,4,1.0000
TAN-ESC,EYE SURGERY CENTER,00144,4,4,1.0000
SIO-STL,ST LUKES REGIONAL MEDICAL CENTER,36410,4,4,1.0000
EAP-CMI,CENTER FOR MINIMALLY INV SURG,00630,4,4,1.0000
IAS-MOR,MORRIS HOSPITAL,00520,4,4,1.0000
IAS-MOR,MORRIS HOSPITAL,01961,4,4,1.0000
EAP-CMI,CENTER FOR MINIMALLY INV SURG,01938,4,4,1.0000
